80 42 7 68 90 48 26 15 10 32 
58 5 91 74 85 47 25 18 8 83 
31 26 91 83 94 14 81 30 76 54 
3 65 34 52 82 96 77 46 69 63 
48 20 41 97 44 87 95 26 98 81 
2 27 68 11 63 92 98 85 3 23 
46 86 32 10 60 39 29 15 20 92 
86 37 92 78 42 9 77 38 39 79 
28 98 24 21 17 64 89 91 56 47 
77 52 6 22 11 18 27 78 76 5 
99 28 42 44 8 5 56 86 53 18 
9 22 8 33 83 56 37 65 11 13 
72 87 64 58 73 97 34 62 2 81 
2 11 65 35 40 10 76 77 81 69 
75 79 92 17 61 8 1 24 7 6 
65 50 92 3 83 87 94 33 15 79 
56 53 99 43 77 67 79 27 50 88 
9 52 92 8 29 100 65 56 66 57 
85 71 99 80 52 66 89 51 68 40 
57 33 66 21 56 75 12 95 68 3 
76 18 84 23 67 2 85 80 78 26 
73 32 13 23 85 95 60 66 91 16 
30 9 14 35 46 97 65 60 33 45 
74 77 64 67 15 87 48 7 84 38 
73 42 72 27 66 93 99 78 76 49 
67 98 23 2 33 72 20 47 78 12 
96 2 71 11 30 98 80 39 83 28 
86 14 28 30 35 47 38 67 99 57 
73 75 24 93 59 48 8 5 77 99 
11 6 51 12 37 75 48 25 24 67 
97 17 89 55 21 38 1 90 93 26 
12 42 60 30 58 73 72 91 81 84 
72 18 49 55 34 74 36 11 78 7 
10 65 82 29 75 46 41 36 39 58 
75 12 69 48 4 59 37 77 73 16 
37 79 49 88 96 23 72 16 97 47 
57 21 74 25 69 17 83 63 44 43 
98 71 56 68 50 30 16 63 14 1 
65 83 31 60 61 91 3 4 9 39 
15 25 6 50 99 38 33 95 3 70 
18 36 9 6 10 97 29 92 24 65 
95 81 97 57 99 7 41 70 20 29 
93 36 96 68 42 74 61 79 8 22 
48 4 18 27 85 32 33 13 37 30 
75 23 89 76 59 91 1 6 34 3 
20 99 19 15 7 29 66 46 21 2 
29 6 59 1 40 66 39 64 30 78 
11 27 6 3 86 31 40 61 58 52 
95 52 94 40 27 28 61 17 8 88 
55 5 51 85 97 11 37 53 24 36 
67 18 82 32 11 42 53 77 69 72 
52 96 44 72 21 87 1 49 17 67 
51 100 37 19 79 58 36 54 50 73 
42 6 25 31 97 19 84 54 99 5 
17 83 63 28 34 45 19 89 72 2 
84 53 90 72 86 87 4 15 10 96 
56 33 57 68 25 63 95 16 50 43 
23 18 49 62 43 11 79 4 22 67 
34 26 40 57 72 2 38 59 15 21 
39 42 32 9 27 98 28 4 82 66 
41 59 82 42 7 12 39 1 100 86 
92 73 49 36 70 86 93 25 13 8 
63 14 23 34 1 85 87 38 55 68 
45 95 66 19 100 96 36 46 90 68 
95 79 60 70 50 32 40 2 16 67 
76 23 68 37 58 32 28 17 24 83 
83 100 18 48 46 84 43 23 58 1 
46 96 85 51 43 56 19 77 78 53 
18 71 85 62 31 78 22 6 69 4 
41 29 30 56 83 59 31 34 90 70 
90 41 93 9 45 39 2 66 100 83 
66 69 54 93 40 38 1 18 94 16 
77 88 9 54 2 30 16 94 51 89 
68 99 34 3 58 82 65 27 61 78 
44 54 28 49 40 43 21 50 98 61 
62 20 47 83 79 53 67 91 63 29 
35 68 69 64 7 38 15 6 59 43 
19 33 76 81 78 3 91 39 97 69 
25 70 86 24 88 96 28 66 23 73 
6 81 51 28 75 63 93 46 47 34 
39 94 37 72 27 78 68 99 69 6 
91 49 26 93 97 11 29 36 88 32 
100 41 99 40 4 36 26 22 81 68 
90 21 25 61 41 81 38 45 3 42 
27 49 67 66 29 88 32 10 41 97 
63 18 74 8 39 95 71 52 78 53 
80 65 86 72 43 35 59 99 91 3 
75 6 65 44 61 78 33 60 76 4 
20 79 69 88 80 57 84 24 78 100 
59 86 96 97 39 74 18 68 27 89 
71 11 74 97 57 78 44 62 7 19 
12 5 13 95 75 50 62 24 27 43 
61 65 11 7 48 64 71 50 84 5 
12 38 3 65 23 78 32 31 51 46 
35 86 9 80 84 98 34 37 23 38 
49 29 79 26 69 38 5 83 11 9 
54 45 9 13 96 56 93 35 26 27 
61 65 90 59 13 96 68 70 14 94 
35 80 18 89 41 22 1 27 15 77 
20 96 50 65 30 93 3 91 47 98 
